0  1 1.53e-06
0  11 7.56e-06
0  12 7.89e-06
0  13 7.69e-06
1  2 3.67e-06
1  3 1.95e-06
1  11 9.6e-07
1  12 9.2e-07
1  13 9.6e-07
1  14 1.05e-06
3  4 1.85e-06
3  14 1.026e-05
4  5 2.54e-06
4  10 2.59e-06
4  14 1e-06
4  15 8.2e-07
4  19 8.2e-07
5  6 2.84e-06
5  15 8.93e-06
5  16 8.6e-07
6  7 2.52e-06
6  15 8.4e-07
6  16 8.79e-06
7  8 1.88e-06
7  9 2.54e-06
7  16 8.3e-07
7  17 1.34e-06
7  18 7.9e-07
8  17 9.25e-06
9  10 2.77e-06
9  18 8.66e-06
9  19 7.9e-07
10 18 8.4e-07
10 19 9.05e-06
11 12 3.26e-06
11 13 3.21e-06
12 13 3.25e-06
